pfam_id	pfam_description
PF13453	Transcription factor zinc-finger
PF13454	FAD-NAD(P)-binding
PF13455	Meiotically up-regulated gene 113
PF13456	Reverse transcriptase-like
PF13457	GW (Gly-Tryp) dipeptide domain
PF13458	Periplasmic binding protein
PF13459	4Fe-4S single cluster domain
PF13460	NAD(P)H-binding
PF13462	Thioredoxin
PF13463	Winged helix DNA-binding domain
PF13464	RodZ C-terminal domain
PF13465	Zinc-finger double domain
PF13466	Mlab, STAS domain
PF13467	Ribbon-helix-helix domain
PF13468	Glyoxalase-like domain
PF13469	Sulfotransferase family
PF13470	PIN domain
PF13471	Transglutaminase-like superfamily
PF13472	GDSL-like Lipase/Acylhydrolase family
PF13473	Cupredoxin-like domain
PF13474	SnoaL-like domain
PF13475	Domain of unknown function (DUF4116)
PF13476	AAA domain
PF13477	Glycosyl transferase 4-like
PF13478	XdhC Rossmann domain
PF13479	AAA domain
PF13480	Acetyltransferase (GNAT) domain
PF13481	AAA domain
PF13482	RNase_H superfamily
PF13483	Beta-lactamase superfamily domain
PF13484	4Fe-4S double cluster binding domain
PF13485	Peptidase MA superfamily
PF13486	Reductive dehalogenase subunit
PF13487	HD domain
PF13488	Glycine zipper
PF13489	Methyltransferase domain
PF13490	Putative zinc-finger
PF13491	4TM region of DNA translocase FtsK/SpoIIIE
PF13492	GAF domain
PF13493	Domain of unknown function (DUF4118)
PF13494	Domain of unknown function, B. Theta Gene description (DUF4119)
PF13495	Phage integrase, N-terminal SAM-like domain
PF13496	Domain of unknown function (DUF4120)
PF13497	Domain of unknown function (DUF4121)
PF13498	Domain of unknown function (DUF4122)
PF13499	EF-hand domain pair
PF13500	AAA domain
PF13501	Sulfur oxidation protein SoxY
PF13503	Domain of unknown function (DUF4123)
PF13505	Outer membrane protein beta-barrel domain
PF13506	Glycosyl transferase family 21
PF13507	CobB/CobQ-like glutamine amidotransferase domain
PF13508	Acetyltransferase (GNAT) domain
PF13509	S1 domain
PF13510	2Fe-2S iron-sulfur cluster binding domain
PF13511	Domain of unknown function (DUF4124)
PF13512	Tetratricopeptide repeat
PF13513	HEAT-like repeat
PF13514	AAA domain
PF13515	Fusaric acid resistance protein-like
PF13516	Leucine Rich repeat
PF13517	FG-GAP-like repeat
PF13518	Helix-turn-helix domain
PF13519	von Willebrand factor type A domain
PF13520	Amino acid permease
PF13521	AAA domain
PF13522	Glutamine amidotransferase domain
PF13523	Acetyltransferase (GNAT) domain
PF13524	Glycosyl transferase-like
PF13525	Outer membrane lipoprotein
PF13526	Protein of unknown function (DUF4125)
PF13527	Acetyltransferase (GNAT) domain
PF13528	Glycosyl transferase family 1
PF13529	Peptidase_C39 like family
PF13530	Sterol carrier protein domain
PF13531	Bacterial extracellular solute-binding protein
PF13532	2OG-Fe(II) oxygenase superfamily
PF13534	4Fe-4S dicluster domain
PF13535	ATP-grasp domain
PF13536	Putative multidrug resistance efflux transporter
PF13537	Glutamine amidotransferase domain
PF13538	UvrD-like helicase C-terminal domain
PF13539	D-alanyl-D-alanine carboxypeptidase
PF13540	Regulator of chromosome condensation (RCC1) repeat
PF13541	Subunit ChlI of Mg-chelatase
PF13542	Helix-turn-helix domain of transposase family ISL3
PF13543	SAM like domain present in kinase suppressor RAS 1
PF13545	Crp-like helix-turn-helix domain
PF13546	DDE superfamily endonuclease
PF13547	GTA TIM-barrel-like domain
PF13548	Domain of unknown function (DUF4126)
PF13549	ATP-grasp domain
PF13550	Putative phage tail protein
PF13551	Winged helix-turn helix
PF13552	Protein of unknown function (DUF4127)
PF13553	Function to find
PF13554	Phage tail terminator protein
PF13555	P-loop containing region of AAA domain
PF13556	PucR C-terminal helix-turn-helix domain
PF13557	Putative MetA-pathway of phenol degradation
PF13558	SbcC/RAD50-like, Walker B motif
PF13559	Domain of unknown function (DUF4129)
PF13560	Helix-turn-helix domain
PF13561	Enoyl-(Acyl carrier protein) reductase
PF13562	Sugar nucleotidyl transferase
PF13563	2'-5' RNA ligase superfamily
PF13564	DoxX-like family
PF13565	Homeodomain-like domain
PF13566	Domain of unknown function (DUF4130
PF13567	Domain of unknown function (DUF4131)
PF13568	Outer membrane protein beta-barrel domain
PF13569	Domain of unknown function (DUF4132)
PF13570	Beta-alanine-activating enzyme, beta-propeller
PF13571	Domain of unknown function (DUF4133)
PF13572	Domain of unknown function (DUF4134)
PF13573	SprB repeat
PF13574	Metallo-peptidase family M12B Reprolysin-like
PF13575	Domain of unknown function (DUF4135)
PF13576	Pentapeptide repeats (9 copies)
PF13577	SnoaL-like domain
PF13578	Methyltransferase domain
PF13579	Glycosyl transferase 4-like domain
PF13580	SIS domain
PF13581	Histidine kinase-like ATPase domain
PF13582	Metallo-peptidase family M12B Reprolysin-like
PF13583	Metallo-peptidase family M12B Reprolysin-like
PF13584	BatD DUF11 like domain
PF13585	CHU_C Type IX secretion signal domain
PF13586	Transposase DDE domain
PF13588	Type I restriction enzyme R protein N terminus (HSDR_N)
PF13589	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
PF13590	Domain of unknown function (DUF4136)
PF13591	MerR HTH family regulatory protein
PF13592	Winged helix-turn helix
PF13593	SBF-like CPA transporter family (DUF4137)
PF13595	Domain of unknown function (DUF4138)
PF13596	PAS domain
PF13597	Anaerobic ribonucleoside-triphosphate reductase
PF13598	Domain of unknown function (DUF4139)
PF13599	Pentapeptide repeat region
PF13600	N-terminal domain of unknown function (DUF4140)
PF13601	Winged helix DNA-binding domain
PF13602	Zinc-binding dehydrogenase
PF13603	Leucyl-tRNA synthetase, editing domain
PF13604	AAA domain
PF13605	Domain of unknown function (DUF4141)
PF13606	Ankyrin repeat
PF13607	Succinyl-CoA ligase like flavodoxin domain
PF13608	Protein P3 of Potyviral polyprotein
PF13609	Gram-negative porin
PF13610	DDE domain
PF13611	Serine peptidase of plant viral polyprotein, P1
PF13612	Transposase DDE domain
PF13613	Helix-turn-helix of DDE superfamily endonuclease
PF13614	AAA domain
PF13616	PPIC-type PPIASE domain
PF13617	YnbE-like lipoprotein
PF13618	Gluconate 2-dehydrogenase subunit 3
PF13619	KTSC domain
PF13620	Carboxypeptidase regulatory-like domain
PF13621	Cupin-like domain
PF13622	Acyl-CoA thioesterase N-terminal domain
PF13623	SurA-like N-terminal domain
PF13624	SurA-like N-terminal domain
PF13625	Helicase conserved C-terminal domain
PF13627	LPS-assembly lipoprotein LptM, conserved region
PF13628	Domain of unknown function (DUF4142)
PF13629	Pilus formation protein N terminal region
PF13630	SdpI/YfhL protein family
PF13631	Cytochrome b(N-terminal)/b6/petB
PF13632	Glycosyl transferase family group 2
PF13634	Nucleoporin FG repeat region
PF13635	Domain of unknown function (DUF4143)
PF13636	Methyltransferase RsmF PUA domain
PF13637	Ankyrin repeats (many copies)
PF13638	PIN domain
PF13639	Ring finger domain
PF13640	2OG-Fe(II) oxygenase superfamily
PF13641	Glycosyltransferase like family 2
PF13642	protein structure with unknown function
PF13643	Domain of unknown function (DUF4145)
PF13644	DKNYY family
PF13645	L,D-transpeptidase catalytic domain
PF13646	HEAT repeats
PF13647	Glycosyl hydrolase family 80 of chitosanase A
PF13648	Lipocalin-like domain
PF13649	Methyltransferase domain
PF13650	Aspartyl protease
PF13651	Adenine-specific methyltransferase EcoRI
PF13652	Putative quorum-sensing-regulated virulence factor
PF13653	Glycerophosphoryl diester phosphodiesterase family
PF13654	LonB-like, AAA domain
PF13655	N-terminal domain of reverse transcriptase
PF13656	RNA polymerase Rpb3/Rpb11 dimerisation domain
PF13657	HipA N-terminal domain
PF13660	Domain of unknown function (DUF4147)
PF13661	2OG-Fe(II) oxygenase superfamily
PF13662	Toprim domain
PF13663	Domain of unknown function (DUF4148)
PF13664	Domain of unknown function (DUF4149)
PF13665	Toxin PAAR-like domain
PF13667	ThiC-associated domain
PF13668	Ferritin-like domain
PF13669	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF13670	Peptidase propeptide and YPEB domain
PF13671	AAA domain
PF13672	Protein phosphatase 2C
PF13673	Acetyltransferase (GNAT) domain
PF13675	Type IV pili methyl-accepting chemotaxis transducer N-term
PF13676	TIR domain
PF13677	Membrane MotB of proton-channel complex MotA/MotB
PF13678	NFkB-p65-degrading zinc protease
PF13679	Methyltransferase domain
PF13680	Protein of unknown function (DUF4152)
PF13681	Type IV pilus assembly protein PilX C-term
PF13682	Chemoreceptor zinc-binding domain
PF13683	Integrase core domain
PF13684	Fatty acid kinase subunit A-like, C-terminal
PF13685	Iron-containing alcohol dehydrogenase
PF13686	DsrE/DsrF/DrsH-like family
PF13687	Domain of unknown function (DUF4153)
PF13688	Metallo-peptidase family M12
PF13689	YfiR/HmsC-like
PF13690	Chemotaxis phosphatase CheX
PF13691	tRNase Z endonuclease
PF13692	Glycosyl transferases group 1
PF13693	Winged helix-turn-helix DNA-binding
PF13694	Sec63/Sec62 complex-interacting family
PF13695	Zinc-binding domain
PF13696	Zinc knuckle
PF13698	Domain of unknown function (DUF4156)
PF13699	eCIS core domain
PF13700	Domain of unknown function (DUF4158)
PF13701	Transposase DDE domain group 1
PF13702	Lysozyme-like
PF13704	Glycosyltransferase family 25, N-terminal domain
PF13705	TRC8 N-terminal domain
PF13707	RloB-like protein
PF13708	Domain of unknown function (DUF4942)
PF13709	Domain of unknown function (DUF4159)
PF13710	ACT domain
PF13711	Domain of unknown function (DUF4160)
PF13712	Glycosyltransferase like family
PF13713	Transcription factor BRX N-terminal domain
PF13714	Phosphoenolpyruvate phosphomutase
PF13715	CarboxypepD_reg-like domain
PF13716	Divergent CRAL/TRIO domain
PF13717	zinc-ribbon domain
PF13718	GNAT acetyltransferase 2
PF13719	zinc-ribbon domain
PF13720	Udp N-acetylglucosamine O-acyltransferase; Domain 2
PF13721	SecD export protein N-terminal TM region
PF13723	Beta-ketoacyl synthase, N-terminal domain
PF13724	DNA-binding domain
PF13725	Possible tRNA binding domain
PF13726	Na+-H+ antiporter family
PF13727	CoA-binding domain
PF13728	F plasmid transfer operon protein
PF13729	F plasmid transfer operon, TraF, protein
PF13730	Helix-turn-helix domain
PF13731	WxL domain surface cell wall-binding
PF13732	ATP-binding protein DrrA1-3-like, C-terminal domain
PF13733	N-terminal region of glycosyl transferase group 7
PF13734	Spi protease inhibitor
PF13735	tRNA nucleotidyltransferase domain 2 putative
PF13737	Transposase DDE domain
PF13738	Pyridine nucleotide-disulphide oxidoreductase
PF13739	Deacetylase PdaC
PF13740	ACT domain
PF13741	Mitochondrial ribosomal protein S25
PF13742	OB-fold nucleic acid binding domain
PF13743	Thioredoxin
PF13744	Helix-turn-helix domain
PF13746	4Fe-4S dicluster domain
PF13747	Domain of unknown function (DUF4164)
PF13748	ABC transporter transmembrane region
PF13749	Putative ATP-dependent DNA helicase recG C-terminal
PF13750	Bacterial Ig-like domain (group 3)
PF13751	Transposase DDE domain
PF13752	Domain of unknown function (DUF4165)
PF13753	Putative flagellar system-associated repeat
PF13754	Domain of unknown function
PF13755	Sensor N-terminal transmembrane domain
PF13756	Stimulus-sensing domain
PF13757	Vault protein inter-alpha-trypsin domain
PF13758	Prefoldin subunit
PF13759	Putative 2OG-Fe(II) oxygenase
PF13761	Domain of unknown function (DUF4166)
PF13762	Mitochondrial splicing apparatus component
PF13763	Domain of unknown function (DUF4167)
PF13764	E3 ubiquitin-protein ligase UBR4
PF13765	SPRY-associated domain
PF13767	Domain of unknown function (DUF4168)
PF13768	von Willebrand factor type A domain
PF13769	Virulence factor
PF13770	Domain of unknown function (DUF4169)
PF13771	PHD-like zinc-binding domain
PF13772	AIG2-like family
PF13773	Domain of unknown function (DUF4170)
PF13774	Regulated-SNARE-like domain
PF13775	Domain of unknown function (DUF4171)
PF13776	Domain of unknown function (DUF4172)
PF13778	Domain of unknown function (DUF4174)
PF13779	Domain of unknown function (DUF4175)
PF13780	Domain of unknown function (DUF4176)
PF13781	DoxX-like family
PF13782	Stage V sporulation protein AB
PF13783	Domain of unknown function (DUF4177)
PF13784	Fic/DOC family N-terminal
PF13785	Domain of unknown function (DUF4178)
PF13786	Domain of unknown function (DUF4179)
PF13787	Protein of unknown function with HXXEE motif
PF13788	Domain of unknown function (DUF4180)
PF13789	Domain of unknown function (DUF4181)
PF13790	SR1 protein
PF13791	Sigma factor regulator C-terminal
PF13793	N-terminal domain of ribose phosphate pyrophosphokinase
PF13794	Ferritin-like domain, actinomycetes
PF13795	HupE / UreJ protein
PF13796	Putative sensor
PF13797	Post-transcriptional regulator
PF13798	Protein of unknown function with PCYCGC motif
PF13799	Fibrillar ENdospore Appendages
PF13800	Sigma factor regulator N-terminal
PF13801	Heavy-metal resistance
PF13802	Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain
PF13803	Domain of unknown function (DUF4184)
PF13804	Retro-transcribing viruses envelope glycoprotein
PF13805	Eisosome component PIL1
PF13806	Rieske-like [2Fe-2S] domain
PF13807	G-rich domain on putative tyrosine kinase
PF13808	DDE_Tnp_1-associated
PF13809	Tubulin like
PF13810	Domain of unknown function (DUF4185)
PF13811	Domain of unknown function (DUF4186)
PF13812	Pentatricopeptide repeat domain
PF13813	Membrane bound O-acyl transferase family
PF13814	Replication-relaxation
PF13815	Iguana/Dzip1-like DAZ-interacting protein N-terminal
PF13816	Haem-containing dehydratase
PF13817	IS66 C-terminal element
PF13820	Nuclear receptor coactivator 6, TRADD-N domain
PF13821	Domain of unknown function (DUF4187)
PF13822	Acyl-CoA carboxylase epsilon subunit
PF13824	Zinc-finger of mitochondrial splicing suppressor 51
PF13825	Paramyxovirus structural protein V/P N-terminus
PF13826	Monooxygenase af470-like
PF13827	Domain of unknown function (DUF4189)
PF13828	Domain of unknown function (DUF4190)
PF13829	Domain of unknown function (DUF4191)
PF13830	Domain of unknown function (DUF4192)
PF13831	PHD-finger
PF13832	PHD-zinc-finger like domain
PF13833	EF-hand domain pair
PF13834	Domain of unknown function (DUF4193)
PF13835	Wadjet protein JetB
PF13836	Domain of unknown function (DUF4195)
PF13837	Myb/SANT-like DNA-binding domain
PF13838	Clathrin-H-link
PF13839	GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p
PF13840	ACT domain
PF13841	Beta defensin
PF13842	DDE_Tnp_1-like zinc finger
PF13843	Transposase IS4
PF13844	Glycosyl transferase family 41
PF13845	Septum formation
PF13846	Domain of unknown function (DUF4196)
PF13847	Methyltransferase domain
PF13848	Thioredoxin-like domain
PF13850	Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)
PF13851	Growth-arrest specific micro-tubule binding
PF13852	Protein of unknown function (DUF4197)
PF13853	Olfactory receptor
PF13854	Host cell factor, Kelch-repeats domain
PF13855	Leucine rich repeat
PF13856	ATP-binding sugar transporter from pro-phage
PF13857	Ankyrin repeats (many copies)
PF13858	Protein of unknown function (DUF4199)
PF13859	BNR repeat-like domain
PF13860	FlgD Ig-like domain
PF13861	FlgD Tudor-like domain
PF13862	BCCIP
PF13863	Domain of unknown function (DUF4200)
PF13864	Calmodulin-binding
PF13865	C-terminal duplication domain of Friend of PRMT1
PF13866	SAP30 zinc-finger
PF13867	Sin3 binding region of histone deacetylase complex subunit SAP30
PF13868	Trichohyalin-plectin-homology domain
PF13869	Nucleotide hydrolase
PF13870	CCDC113/CCDC96, coiled-coil
PF13871	C-terminal domain on Strawberry notch homologue
PF13872	P-loop containing NTP hydrolase pore-1
PF13873	Myb/SANT-like DNA-binding domain
PF13874	Nucleoporin complex subunit 54
PF13875	Domain of unknown function (DUF4202)
PF13876	Phage protein (N4 Gp49/phage Sf6 gene 66) family
PF13877	Potential Monad-binding region of RPAP3
PF13878	zinc-finger of acetyl-transferase ESCO
PF13879	Hemingway/CFA97
PF13880	ESCO1/2 acetyl-transferase
PF13881	Ubiquitin-2 like Rad60 SUMO-like
PF13882	Bravo-like intracellular region
PF13883	CREG, beta-barrel
PF13884	Chaperone of endosialidase
PF13885	Keratin, high sulfur B2 protein
PF13886	TM7S3/TM198-like domain
PF13887	Myelin regulatory factor ICA domain
PF13888	Myelin gene regulatory factor C-terminal domain 2
PF13889	Chromosome segregation during meiosis
PF13890	Rab3 GTPase-activating protein catalytic subunit
PF13891	KANL2-like, probable zinc-finger domain
PF13892	DNA-binding domain
PF13893	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF13894	C2H2-type zinc finger
PF13895	Immunoglobulin domain
PF13896	Glycosyl-transferase for dystroglycan
PF13897	Golgi-dynamics membrane-trafficking
PF13898	Deubiquitinating enzyme MINDY-3/4, conserved domain
PF13899	Thioredoxin-like
PF13901	Rubicon Homology Domain
PF13902	R3H-associated N-terminal domain
PF13903	PMP-22/EMP/MP20/Claudin tight junction
PF13904	Coiled-coil domain-containing protein 34
PF13905	Thioredoxin-like
PF13906	C-terminus of AA_permease
PF13907	Chromodomain-helicase-DNA-binding protein 1-like, C-terminal
PF13908	Shisa, N-terminal domain
PF13909	C2H2-type zinc-finger domain
PF13910	EMARD, N-terminal domain
PF13911	AhpC/TSA antioxidant enzyme
PF13912	C2H2-type zinc finger
PF13913	zinc-finger of a C2HC-type
PF13914	Phostensin PP1-binding and SH3-binding region
PF13915	Domain of unknown function (DUF4210)
PF13916	PP1-regulatory protein, Phostensin N-terminal
PF13917	Zinc knuckle
PF13918	PLD3/4, PLD-like domain
PF13919	Asx homology domain
PF13920	Zinc finger, C3HC4 type (RING finger)
PF13921	Myb-like DNA-binding domain
PF13922	PHD domain of transcriptional enhancer, Asx
PF13923	Zinc finger, C3HC4 type (RING finger)
PF13924	Lipocalin-like domain
PF13925	con80 domain of Katanin
PF13926	Domain of unknown function (DUF4211)
PF13927	Immunoglobulin domain
PF13928	Flocculin type 3 repeat
PF13930	DNA/RNA non-specific endonuclease
PF13931	Kinesin-associated microtubule-binding
PF13932	tRNA modifying enzyme MnmG/GidA C-terminal helical bundle
PF13933	Putative peptidase family
PF13934	Nuclear pore complex assembly
PF13935	Ead/Ea22-like protein
PF13936	Helix-turn-helix domain
PF13937	Domain of unknown function (DUF4212)
PF13938	Putative heavy-metal chelation
PF13939	Toxin TisB, type I toxin-antitoxin system
PF13940	Toxin Ldr, type I toxin-antitoxin system
PF13941	MutL protein
PF13942	YfhG lipoprotein
PF13943	WPP domain
PF13944	Calycin-like beta-barrel domain
PF13945	Salt tolerance down-regulator
PF13946	Domain of unknown function (DUF4214)
PF13947	Wall-associated receptor kinase galacturonan-binding
PF13948	Domain of unknown function (DUF4215)
PF13949	ALIX V-shaped domain binding to HIV
PF13952	Domain of unknown function (DUF4216)
PF13953	PapC C-terminal domain
PF13954	PapC N-terminal domain
PF13955	Toxin Fst, type I toxin-antitoxin system
PF13956	Toxin Ibs, type I toxin-antitoxin system
PF13957	Toxin YafO, type II toxin-antitoxin system
PF13958	Toxin ToxN, type III toxin-antitoxin system
PF13959	ATP-dependent rRNA helicase SPB4-like, C-terminal extension
PF13960	Domain of unknown function (DUF4218)
PF13961	Domain of unknown function (DUF4219)
PF13962	Domain of unknown function
PF13963	Transposase-associated domain
PF13964	Calicin, beta-propeller domain
PF13965	dsRNA-gated channel SID-1
PF13966	zinc-binding in reverse transcriptase
PF13967	Late exocytosis, associated with Golgi transport
PF13968	Domain of unknown function (DUF4220)
PF13969	Pab87 octamerisation domain
PF13970	Domain of unknown function (DUF4221)
PF13971	Meiosis-specific protein Mei4
PF13972	Bacterial transcriptional repressor
PF13973	Domain of unknown function (DUF4222)
PF13974	YebO-like protein
PF13975	gag-polyprotein putative aspartyl protease
PF13976	GAG-pre-integrase domain
PF13977	BetI-type transcriptional repressor, C-terminal
PF13978	Protein of unknown function (DUF4223)
PF13979	SopA-like catalytic domain
PF13980	Uncharacterised protein family (UPF0370)
PF13981	SopA-like central domain
PF13982	YbfN-like lipoprotein
PF13983	YsaB-like lipoprotein
PF13984	MsyB protein
PF13985	YbgS-like protein
PF13986	Domain of unknown function (DUF4224)
PF13987	Bacterial lipocalin LPS transport optimiser YedD
PF13988	Protein of unknown function (DUF4225)
PF13989	YejG-like protein
PF13990	YjcZ-like protein
PF13991	BssS protein family
PF13992	YecR-like lipoprotein
PF13993	YccJ-like protein
PF13994	PgaD-like protein
PF13995	YebF-like protein
PF13996	YobH-like protein
PF13997	YqjK-like protein
PF13998	MgrB protein
PF13999	MarB protein
PF14000	DNA packaging protein FI
PF14001	YdfZ protein
PF14002	YniB-like protein
PF14003	YlbE-like protein
PF14004	Protein of unknown function (DUF4227)
PF14005	YpjP-like protein
PF14006	YqzL-like protein
PF14007	YtpI-like protein
PF14008	Iron/zinc purple acid phosphatase-like protein C
PF14009	PADRE domain
PF14010	Phosphoenolpyruvate carboxylase
PF14011	EspG family
PF14012	Protein of unknown function (DUF4229)
PF14013	MT0933-like antitoxin protein
PF14014	Protein of unknown function (DUF4230)
PF14015	Protein of unknown function (DUF4231)
PF14016	Domain of unknown function (DUF4232)
PF14017	Protein of unknown function (DUF4233)
PF14018	Domain of unknown function (DUF4234)
PF14019	Protein of unknown function (DUF4235)
PF14020	Protein of unknown function (DUF4236)
PF14021	Tuberculosis necrotizing toxin
PF14022	Protein of unknown function (DUF4238)
PF14023	Bestrophin-like domain
PF14024	Protein of unknown function (DUF4240)
PF14025	Protein of unknown function (DUF4241)
PF14026	Nickel responsive protein SCO4226-like
PF14027	Questin oxidase-like
PF14028	Lantibiotic biosynthesis dehydratase C-term
PF14029	Protein of unknown function (DUF4244)
PF14030	Protein of unknown function (DUF4245)
PF14031	Putative serine dehydratase domain
PF14032	PknH-like extracellular domain
PF14033	Protein of unknown function (DUF4246)
PF14034	Sporulation protein YtrH
PF14035	YlzJ-like protein
PF14036	YlaH-like protein
PF14037	YoqO-like protein
PF14038	YqzE-like protein
PF14039	YusW-like protein
PF14040	Deoxyribonuclease NucA/NucB
PF14041	LppP/LprE lipoprotein
PF14042	Domain of unknown function (DUF4247)
PF14043	WVELL protein
PF14044	NETI protein
PF14045	YIEGIA protein
PF14046	Nuclear receptor repeat
PF14047	Dppa2/4 conserved region
PF14048	C-terminal domain of methyl-CpG binding protein 2 and 3
PF14049	Dppa2/4 conserved region in higher vertebrates
PF14050	N-terminal conserved domain of Nudc.
PF14051	DPF1-3, N-terminal
PF14052	Capsule assembly protein Wzi
PF14053	Domain of unknown function (DUF4248)
PF14054	Domain of unknown function (DUF4249)
PF14055	NVEALA protein
PF14056	Domain of unknown function (DUF4250)
PF14057	GGGtGRT protein
PF14058	PcfK-like protein
PF14059	Domain of unknown function (DUF4251)
PF14060	Domain of unknown function (DUF4252)
PF14061	Polycomb-like MTF2 factor 2
PF14062	Domain of unknown function (DUF4253)
PF14063	Protein of unknown function (DUF4254)
PF14064	HmuY protein
PF14065	Pvc16 N-terminal domain
PF14066	Protein of unknown function (DUF4256)
PF14067	LssY C-terminus
PF14068	Putative membrane protein
PF14069	Stage VI sporulation protein F
PF14070	Putative motility protein
PF14071	Putative coat protein
PF14072	DNA-sulfur modification-associated
PF14073	Centrosome localisation domain of Cep57
PF14074	Protein of unknown function (DUF4257)
PF14075	Ubinuclein conserved middle domain
PF14076	Domain of unknown function (DUF4258)
PF14077	WDR18 C-terminal helix
PF14078	Domain of unknown function (DUF4259)
PF14079	Domain of unknown function (DUF4260)
PF14080	Domain of unknown function (DUF4261)
PF14081	Domain of unknown function (DUF4262)
PF14082	Shedu protein SduA, C-terminal
PF14083	PGDYG protein
PF14084	Protein of unknown function (DUF4264)
PF14085	Domain of unknown function (DUF4265)
PF14086	Domain of unknown function (DUF4266)
PF14087	Domain of unknown function (DUF4267)
PF14088	Domain of unknown function (DUF4268)
PF14089	KinB-signalling pathway activation in sporulation
PF14090	Winged helix-turn-helix domain
PF14091	Domain of unknown function (DUF4269)
PF14092	BamH
PF14093	Domain of unknown function (DUF4271)
PF14094	Domain of unknown function (DUF4272)
PF14096	Domain of unknown function (DUF4274)
PF14097	Stage V sporulation protein AE1
PF14098	Small, acid-soluble spore protein I
PF14099	Polysaccharide lyase
PF14100	Family of unknown function (DUF6807)
PF14101	Domain of unknown function (DUF4275)
PF14102	Capsule biosynthesis CapC
PF14103	Domain of unknown function (DUF4276)
PF14104	Domain of unknown function (DUF4277)
PF14105	Domain of unknown function (DUF4278)
PF14106	Domain of unknown function (DUF4279)
PF14107	Domain of unknown function (DUF4280)
PF14108	ABA DEFICIENT 4-like
PF14109	GldH lipoprotein
PF14110	Domain of unknown function (DUF4282)
PF14111	Domain of unknown function (DUF4283)
PF14112	Immunity protein 22
PF14113	Type VI secretion system (T6SS), amidase effector protein 4
PF14114	Domain of unknown function (DUF4286)
PF14115	YuzL-like protein
PF14116	YyzF-like protein
PF14117	Domain of unknown function (DUF4287)
PF14118	YfzA-like protein
PF14119	Domain of unknown function (DUF4288)
PF14120	YhzD-like protein
PF14121	Putative porin
PF14122	YokU-like protein, putative antitoxin
PF14123	Domain of unknown function (DUF4290)
PF14124	Domain of unknown function (DUF4291)
PF14125	Domain of unknown function (DUF4292)
PF14126	Domain of unknown function (DUF4293)
PF14127	Domain of unknown function (DUF4294)
PF14128	Domain of unknown function (DUF4295)
PF14129	Domain of unknown function (DUF4296)
PF14130	Cap4, dsDNA endonuclease domain
PF14131	Domain of unknown function (DUF4298)
PF14132	Domain of unknown function (DUF4299)
PF14133	Domain of unknown function (DUF4300)
PF14134	Domain of unknown function (DUF4301)
PF14135	Domain of unknown function (DUF4302)
PF14136	Domain of unknown function (DUF4303)
PF14137	Domain of unknown function (DUF4304)
PF14138	Cytochrome c oxidase assembly protein COX16
PF14139	YpzG-like protein
PF14140	YpzI-like protein
PF14141	YqzM-like protein
PF14142	YrzO-like protein
PF14143	YrhC-like protein
PF14144	Seed dormancy control
PF14145	YrhK-like protein
PF14146	Domain of unknown function (DUF4305)
PF14147	Sporulation protein YhaL
PF14148	YhdB-like protein
PF14149	YhfH-like protein
PF14150	YesK-like protein
PF14151	YfhD-like protein
PF14152	YfhE-like protein
PF14153	Spore coat protein CotO, C-terminal
PF14154	Domain of unknown function (DUF4306)
PF14155	Domain of unknown function (DUF4307)
PF14156	Antirepressor AbbA
PF14157	YmzC-like protein
PF14158	YndJ-like protein
PF14159	CAAD domains of cyanobacterial aminoacyl-tRNA synthetase
PF14160	Centrosome-associated C terminus
PF14161	Centrosome-associated N terminus
PF14162	YozD-like protein
PF14163	Super-infection exclusion protein B
PF14164	YqzH-like protein
PF14165	YtzH-like protein
PF14166	YueH-like protein
PF14167	YfkD-like protein
PF14168	YjzC-like protein
PF14169	Cold-inducible protein YdjO
PF14171	Toxin SpoIISA, cytoplasmic domain
PF14172	Domain of unknown function (DUF4309)
PF14173	ComG operon protein 7
PF14174	YycC-like protein
PF14175	YaaC-like Protein
PF14176	YxiJ-like protein
PF14177	YkyB-like protein
PF14178	YppF-like protein
PF14179	YppG-like protein
PF14181	YqfQ-like protein
PF14182	YgaB-like protein
PF14183	YwpF-like protein
PF14184	Regulatory protein YrvL
PF14185	Antitoxin SpoIISB, type II toxin-antitoxin system
PF14186	Axin interactor dorsalisation-associated protein, C-terminal
PF14187	Domain of unknown function (DUF4310)
PF14188	Domain of unknown function (DUF4311)
PF14189	Domain of unknown function (DUF4312)
PF14190	Domain of unknown function (DUF4313)
PF14191	YodL-like domain
PF14192	Domain of unknown function (DUF4314)
PF14193	Domain of unknown function (DUF4315)
PF14194	Cysteine-rich VLP
PF14195	Domain of unknown function (DUF4316)
PF14196	L-2-amino-thiazoline-4-carboxylic acid hydrolase
PF14197	Centrosome localisation domain of PPC89
PF14198	Transposon-encoded protein TnpV
PF14199	Domain of unknown function (DUF4317)
PF14200	Ricin-type beta-trefoil lectin domain-like
PF14201	Domain of unknown function (DUF4318)
PF14202	Transposon-encoded protein TnpW
PF14203	Putative transposon-transfer assisting protein
PF14204	Ribosomal L18 C-terminal region
PF14205	Cysteine-rich KTR
